id,cocktail_id,drink_id,quantity
139,42,0,15 ml
140,42,45,15 ml
141,42,46,15 ml
142,42,47,7.5 ml
143,42,3,15 ml
144,42,21,3 dashes
145,43,0,30 ml
146,43,13,10 ml
147,43,19,10 ml
148,43,3,10 ml
149,43,11,1 個
150,44,0,30 ml
151,44,13,10 ml
152,44,19,10 ml
153,44,3,10 ml
154,44,48,1 個
155,45,0,30 ml
156,45,13,20 ml
157,45,7,10 mll
158,46,0,30 ml
159,46,13,20 ml
160,46,3,10 ml
161,47,0,45 ml
162,47,49,Full up (60ml)
163,48,0,30 ml
164,48,8,Full up (120ml)
165,49,0,40 ml
166,49,3,20 ml
167,49,21,1 dash
168,50,0,60 ml
169,50,3,1 dash (1ml)
170,50,15,1 dash (1ml)
171,50,5,1 dash (1ml)
172,50,9,1 dash
173,50,10,1 dash (1ml)
174,51,0,30 ml
175,51,16,15 ml
176,51,5,15 ml
177,51,2,1 tsp.
178,52,0,20 ml
179,52,47,20 ml
180,52,3,10 ml
181,52,5,10 ml
182,53,38,50 ml
183,53,15,5 ml
184,53,50,5 ml
185,53,7,1 tsp.
186,54,0,30 ml
187,54,51,30 ml
188,55,0,30 ml
189,55,52,Full up (90ml)
190,56,0,45 ml
191,56,7,15 ml
192,56,9,1 dash
193,56,10,1/2 tsp.
194,57,35,40 ml
195,57,53,20 ml
196,58,35,40 ml
197,58,53,20 ml
198,58,23,10 ml
199,59,35,30 ml
200,59,39,15 ml
201,59,27,15 ml
202,59,7,1 tsp.
203,60,35,30 ml
204,60,54,15 ml
205,60,39,15 ml
206,60,7,1 tsp.
207,61,35,45 ml
208,61,15,適量 (90ml)
209,61,27,適量 (30ml)
210,62,35,30 ml
211,62,55,15 ml
212,62,7,15 ml
213,62,2,1 dash
214,63,35,30 ml
215,63,54,15 ml
216,63,4,Full up (60ml)
217,63,2,1 tsp.
218,64,35,45 ml
219,64,20,15 ml
220,65,35,50 ml
221,65,7,10 ml
222,66,35,15 ml
223,66,14,10 ml
224,66,2,10 ml
225,66,34,10 ml
226,66,23,5 ml
227,67,35,45 ml
228,67,56,15 ml
229,67,3,45 ml
230,67,5,15 ml
231,67,10,2 tsp.
232,67,8,Full up (45ml)
233,68,35,15 ml
234,68,48,1 個
235,68,57,150 ml
236,68,23,適量
237,69,35,30 ml
238,69,14,20ml
239,69,7,10 ml
240,70,35,20 ml
241,70,58,15 ml
242,70,14,10 ml
243,70,4,15 ml
244,71,35,40 ml
245,71,14,10 ml
246,71,13,10 ml
247,72,35,30 ml
248,72,2,10 ml
249,72,5,20 ml
250,73,35,30 ml
251,73,4,45 ml
252,73,1,45 ml
253,73,59,スノースタイル
254,74,35,30 ml
255,74,7,10 ml
256,74,1,90 ml
257,75,35,40 ml
258,75,53,25 ml
259,75,60,120 ml
260,76,35,45 ml
261,76,33,100 ml
262,76,5,1 tsp.
263,77,35,30 ml
264,77,15,80 ml
265,77,61,45 ml
266,78,35,45 ml
267,78,4,Full up (90ml)
268,78,59,スノースタイル
269,79,35,45 ml
270,79,4,Full up (90ml)
271,80,35,20 ml
272,80,16,20 ml
273,80,7,20 ml
274,81,35,15 ml
275,81,16,15 ml
276,81,7,15 ml
277,82,35,20 ml
278,82,62,100 ml
279,83,35,30 ml
280,83,51,20 ml
281,83,7,10 ml
282,83,10,1 tsp.
283,84,35,30 ml
284,84,8,Full up (90ml)
285,85,35,60 ml
286,85,63,1 個
287,86,35,30 ml
288,86,24,15 ml
289,86,61,15 ml
290,87,35,45 ml
291,87,3,Full up (105ml)
292,88,35,30 ml
293,88,4,20 ml
294,88,44,10 ml
295,89,64,30 ml
296,89,2,20 ml
297,89,7,10 ml
298,90,64,50 ml
299,90,6,2 tsp.
300,90,7,2 tsp.
301,91,64,30 ml
302,91,15,80 ml
303,91,61,45 ml
304,92,64,30 ml
305,92,2,15 ml
306,92,15,30 ml
307,92,5,15 ml
308,93,64,30 ml
309,93,4,15 ml
310,93,6,1 tsp.
311,94,65,30 ml
312,94,66,25 ml
313,94,7,20 ml
314,95,65,30 ml
315,95,28,25 ml
316,95,7,25 ml
317,96,64,30 ml
318,96,2,15 ml
319,96,15,60 ml
320,96,61,30 ml
321,96,67,1/2 cup
322,97,64,40 ml
323,97,39,10 ml
324,97,5,10 ml
325,98,68,20 ml
326,98,60,150 ml
327,99,68,45 ml
328,99,69,1 個
329,99,70,90 ml
330,99,71,10 g
331,100,68,45 ml
332,100,69,1 個
333,100,72,90 ml
334,100,71,10 g
335,101,64,45 ml
336,101,5,15 ml
337,101,10,1 tsp.
338,102,64,45 ml
339,102,7,15 ml
340,102,6,1 tsp.
341,103,68,60 ml
342,103,73,20 ml
343,103,70,120 ml
344,103,71,10 g
345,104,68,45 ml
346,104,57,90 ml
347,104,23,30 ml
348,104,71,10 g
349,105,64,45 ml
350,105,4,60 ml
351,105,1,60 ml
352,106,64,45 ml
353,106,10,15 ml
354,106,74,90 ml
355,106,71,10 g
356,107,64,20 ml
357,107,16,20 ml
358,107,23,20 ml
359,108,64,35 ml
360,108,14,20 ml
361,108,5,15 ml
362,108,59,スノースタイル
363,109,64,45 ml
364,109,28,15 ml
365,109,14,15 ml
366,109,5,5 ml
367,109,32,スノースタイル
368,110,64,45 ml
369,110,5,15 ml
370,110,43,Full up (90ml)
371,111,64,36 ml
372,111,16,12 ml
373,111,13,12 ml
374,111,75,2 dashes
375,112,64,20 ml
376,112,17,10 ml
377,112,55,10 ml
378,112,5,1 tsp.
379,112,6,1 tsp.
380,112,11,1/2 個
381,112,23,10 ml
382,113,64,30 ml
383,113,56,30 ml
384,113,3,30 ml
385,113,61,30 ml
386,113,8,Full up (90ml)
387,114,64,30 ml
388,114,13,15 ml
389,114,47,15 ml
390,114,6,1 tsp.
391,115,64,40 ml
392,115,13,20 ml
393,116,64,30 ml
394,116,15,30 ml
395,116,10,1 tsp.
396,117,64,30 ml
397,117,13,10 ml
398,117,19,10 ml
399,117,3,10 ml
400,118,64,45 ml
401,118,65,15 ml
402,118,39,10 ml
403,118,15,60 ml
404,118,10,1 tsp.
405,118,67,1/2 cup
406,119,65,30 ml
407,119,72,150 ml
408,119,76,3 tsp.
409,120,64,30 ml
410,120,65,30 ml
411,120,68,30 ml
412,120,56,15 ml
413,120,3,20 ml
414,120,15,10 ml
415,120,5,10 ml
416,120,6,10 ml
417,121,65,30 ml
418,121,56,15 ml
419,121,5,15 ml
420,122,65,45 ml
421,122,56,23 ml
422,122,7,30 ml
423,123,77,40 ml
424,123,53,20 ml
425,124,77,30 ml
426,124,53,30 ml
427,125,77,45 ml
428,125,53,20 ml
429,125,23,30 ml
430,126,77,45 ml
431,126,5,15 ml
432,126,43,Full up (100ml)
433,127,77,45 ml
434,127,13,15 ml
435,128,77,25 ml
436,128,78,10 ml
437,128,8,15 ml
438,129,77,30 ml
439,129,16,15 ml
440,129,7,15 ml
441,129,59,スノースタイル
442,130,77,30 ml
443,130,2,15 ml
444,130,7,15 ml
445,130,59,スノースタイル
446,131,77,30 ml
447,131,39,15 ml
448,131,5,15 ml
449,131,1,Full up (90ml)
450,132,77,30 ml
451,132,2,15 ml
452,132,5,15 ml
453,132,1,Full up (90ml)
454,133,77,30 ml
455,133,1,Full up (120ml)
456,134,77,45 ml
457,134,7,15 ml
458,134,10,5 ml
459,135,77,20 ml
460,135,79,20 ml
461,135,23,20 ml
462,136,77,30 ml
463,136,3,Full up (90ml)
464,137,77,30 ml
465,137,3,Full up (90ml)
466,137,75,1 drop
467,138,77,45 ml
468,138,3,90 ml
469,138,6,2 tsp.
470,139,80,45 ml
471,139,7,15 ml
472,139,6,1/2 tsp.
473,139,32,1 tsp.
474,140,29,30 ml
475,140,53,30 ml
476,140,81,30 ml
477,141,80,45 ml
478,141,7,10 ml
479,141,5,20 ml
480,141,6,1 tsp.
481,141,10,10 ml
482,141,8,135 ml
483,142,82,30 ml
484,142,52,90 ml
485,143,82,30 ml
486,143,8,90 ml
487,144,80,30 ml
488,144,3,15 ml
489,144,5,15 ml
490,144,6,1 tsp.
491,145,80,45 ml
492,145,69,1 個
493,145,9,1 dash
494,146,82,20 ml
495,146,83,15 ml
496,146,53,15 ml
497,146,23,10 ml
498,146,84,スノースタイル
499,147,29,30 ml
500,147,19,15 ml
501,147,13,15 ml
502,147,9,2 dashes
503,148,85,20 ml
504,148,24,10 ml
505,148,16,10 ml
506,148,3,15 ml
507,148,6,5 ml
508,149,80,30 ml
509,149,86,90 ml
510,150,82,45 ml
511,150,20,3 dashes
512,150,8,135 ml
513,151,87,45 ml
514,151,5,15 ml
515,151,6,1 tsp.
516,152,82,30 ml
517,152,1,90 ml
518,153,29,60 ml
519,153,5,20 ml
520,153,10,10 ml
521,153,8,Full up (120ml)
522,154,80,30 ml
523,154,88,10 ml
524,154,6,10 ml
525,154,23,10 ml
526,155,82,45 ml
527,155,28,10 ml
528,155,8,95 ml
529,156,82,30 ml
530,156,2,20 ml
531,156,8,130 ml
532,157,89,45 ml
533,157,19,15 ml
534,157,9,1 dash
535,158,89,50 ml
536,158,13,10 ml
537,158,9,1 dash
538,159,80,45 ml
539,159,10,10 ml
540,159,90,90 ml
541,159,71,10 g
542,160,80,40 ml
543,160,5,20 ml
544,160,10,1 tsp.
545,160,9,2 dashes
546,161,80,45 ml
547,161,3,15 ml
548,161,10,1 tsp.
549,161,43,Full up (90ml)
550,162,82,20 ml
551,162,91,20 ml
552,162,8,80 ml
553,163,80,30 ml
554,163,19,30 ml
555,163,21,1 dash
556,164,80,50 ml
557,164,19,20 ml
558,164,13,10 ml
559,164,18,10 ml
560,164,92,10 ml
561,165,80,45 ml
562,165,27,15 ml
563,165,5,1 tsp.
564,165,10,1 tsp.
565,165,67,1 cup
566,166,85,30 ml
567,166,52,Full up (120ml)
568,167,85,30 ml
569,167,3,Full up (90ml)
570,168,85,30 ml
571,168,81,Full up (90ml)
572,169,82,30 ml
573,169,49,Full up (90ml)
574,170,93,40 ml
575,170,34,20 ml
576,171,82,45 ml
577,171,5,15 ml
578,171,10,1 tsp.
579,171,43,Full up (90ml)
580,172,93,50 ml
581,172,16,1/2 tsp.
582,172,75,3 drops
583,173,82,45 ml
584,173,5,20 ml
585,173,32,1 tsp.
586,174,29,30 ml
587,174,16,15 ml
588,174,5,15 ml
589,175,82,45 ml
590,175,17,15 ml
591,176,94,30 ml
592,176,16,15 ml
593,176,5,15 ml
594,177,51,40 ml
595,177,53,20 ml
596,178,51,30 ml
597,178,1,Full up (60ml)
598,179,30,45 ml
599,179,5,15 ml
600,179,10,1 tsp.
601,179,8,Full up (45ml)
602,180,51,20 ml
603,180,47,20 ml
604,180,3,20 ml
605,181,51,30 ml
606,181,22,15 ml
607,181,23,15 ml
608,182,51,40 ml
609,182,20,20 ml
610,183,94,40 ml
611,183,95,20 ml
612,183,39,1 tsp.
613,184,51,30 ml
614,184,23,15 ml
615,184,73,15 ml
616,185,51,20 ml
617,185,47,20 ml
618,185,96,20 ml
619,186,51,15 ml
620,186,88,15 ml
621,186,60,100 ml
622,186,10,10 ml
623,186,23,15 ml
624,186,97,適量
625,187,51,5 ml
626,187,68,5 ml
627,187,57,100 ml
628,187,98,10 g
629,187,3,20 ml
630,188,30,30 ml
631,188,64,30 ml
632,188,56,2 dash
633,188,5,1 dash
634,189,51,20 ml
635,189,30,10 ml
636,189,16,10 ml
637,189,5,10 ml
638,190,51,45 ml
639,190,47,2 dash
640,190,9,1 dash
641,190,99,Full up (90ml)
642,190,32,スノースタイル
643,191,51,45 ml
644,191,52,Full up (135ml)
645,192,51,30 ml
646,192,30,30 ml
647,192,6,1 tsp.
648,192,5,1 dash
649,193,94,30 ml
650,193,2,10 ml
651,193,1,Full up (90ml)
652,194,51,45 ml
653,194,19,15 ml
654,195,51,30 ml
655,195,1,Full up (45ml)
656,195,8,Full up (45ml)
657,196,51,30 ml
658,196,100,1 枚
659,196,32,1 tsp.
660,197,51,30 ml
661,197,19,30 ml
662,197,47,1 dash
663,198,30,30 ml
664,198,7,15 ml
665,198,6,15 ml
666,199,30,30 ml
667,199,16,20 ml
668,199,5,20 ml
669,200,30,40 ml
670,200,101,1 tsp.
671,200,2,1 tsp.
672,200,27,10 ml
673,201,30,40 ml
674,201,51,20 ml
675,201,0,1 dash
676,202,30,40 ml
677,202,13,20 ml
678,202,75,1 dash
679,203,30,30 ml
680,203,102,15 ml
681,203,19,15 ml
682,204,103,30 ml
683,204,15,90 ml
684,205,103,30 ml
685,205,52,90 ml
686,206,103,30 ml
687,206,15,30 ml
688,206,81,30 ml
689,207,103,45 ml
690,207,53,10 ml
691,207,15,45 ml
692,207,81,45 ml
693,208,103,30 ml
694,208,2,10 ml
695,208,1,Full up (90ml)
696,209,103,30 ml
697,209,3,90 ml
698,210,103,30 ml
699,210,104,90 ml
700,211,103,30 ml
701,211,16,15 ml
702,211,22,10 ml
703,211,23,30 ml
704,211,6,1 tsp.
705,212,80,30 ml
706,212,58,30 ml
707,212,10,10 ml
708,213,103,30 ml
709,213,53,30 ml
710,213,22,30 ml
711,213,81,Full up (60ml)
712,214,103,30 ml
713,214,105,10 ml
714,214,1,Full up (90 ml)
715,215,103,45 ml
716,215,106,10 ml
717,215,15,45 ml
718,215,81,45 ml
719,216,103,30 ml
720,216,15,30 ml
721,216,81,30 ml
722,217,103,30 ml
723,217,43,Full up (90ml)
724,218,103,30 ml
725,218,107,Full up (90 ml)
726,219,103,45 ml
727,219,2,10 ml
728,219,15,45 ml
729,219,81,45 ml
730,220,103,30 ml
731,220,108,90 ml
732,221,53,30 ml
733,221,81,90 ml
734,222,53,30 ml
735,222,81,90 ml
736,222,109,1 tsp.
737,223,53,30 ml
738,223,8,90 ml
739,224,53,30 ml
740,224,47,30 ml
741,224,23,15 ml
742,224,67,3/4 cup
743,225,53,30 ml
744,225,72,90 ml
745,226,53,30 ml
746,226,72,90 ml
747,226,109,1 tsp.
748,227,53,15 ml
749,227,86,45 ml
750,228,53,30 ml
751,228,57,100 ml
752,228,23,45 ml
753,228,84,適量
754,229,53,30 ml
755,229,5,10 ml
756,229,43,90 ml
757,230,53,20 ml
758,230,57,150ml
759,230,32,2 tsp.
760,230,110,適量
761,231,53,30 ml
762,231,91,30 ml
763,231,81,120 ml
764,231,109,1 tsp.
765,231,110,適量
766,232,53,30 ml
767,232,52,90 ml
768,233,53,30 ml
769,233,64,15 ml
770,233,23,20 ml
771,234,53,45 ml
772,234,23,45 ml
773,234,81,30 ml
774,235,53,30 ml
775,235,5,1 tsp.
776,235,49,Full up (90ml)
777,236,53,30 ml
778,236,15,90 ml
779,237,53,30 ml
780,237,1,Full up (90ml)
781,238,53,30 ml
782,238,111,30 ml
783,238,81,60 ml
784,239,64,30 ml
785,239,68,20 ml
786,239,112,10 ml
787,239,23,20 ml
788,239,81,40 ml
789,239,61,10 ml
790,239,113,20 ml
791,240,64,30 ml
792,240,112,45 ml
793,240,61,30 ml
794,240,15,180 ml
795,241,64,30 ml
796,241,112,110 ml
797,241,61,110 ml
798,241,15,110 ml
799,242,77,30 ml
800,242,112,20 ml
801,242,10,1 tsp.
802,242,23,1 tsp.
803,243,114,30 ml
804,243,81,90 ml
805,244,114,20 ml
806,244,103,10 ml
807,244,15,90 ml
808,245,114,30 ml
809,245,3,90 ml
810,246,114,30 ml
811,246,1,135 ml
812,247,44,30 ml
813,247,2,10 ml
814,247,4,45 ml
815,247,1,Full up (45ml)
816,248,44,30 ml
817,248,2,10 ml
818,248,4,45 ml
819,249,44,30 ml
820,249,51,10 ml
821,249,5,10 ml
822,249,1,80 ml
823,250,115,30 ml
824,250,4,30 ml
825,250,1,Full up (90ml)
826,251,115,30 ml
827,251,91,20 ml
828,251,6,1 tsp.
829,251,8,60 ml
830,252,44,45 ml
831,252,1,Full up (90 ml)
832,253,44,30 ml
833,253,3,90 ml
834,254,44,30 ml
835,254,52,90 ml
836,255,115,30 ml
837,255,5,1 tsp.
838,255,49,Full up (60 ml)
839,256,44,30 ml
840,256,108,Full up (90ml)
841,257,44,30 ml
842,257,27,Full up (90ml)
843,258,78,45 ml
844,258,5,15 ml
845,258,43,Full up (135ml)
846,259,78,30 ml
847,259,49,Full up (90ml)
848,260,78,30 ml
849,260,4,90 ml
850,261,78,30 ml
851,261,81,120 ml
852,262,78,30 ml
853,262,3,90 ml
854,263,78,30 ml
855,263,116,90 ml
856,264,78,30 ml
857,264,15,90 ml
858,265,26,45 ml
859,265,117,90 ml
860,266,26,30 ml
861,266,108,Full up (120 ml)
862,267,26,30 ml
863,267,63,3 個
864,267,8,90 ml
865,268,26,30 ml
866,268,8,Full up (90ml)
867,269,26,30 ml
868,269,27,Full up (90ml)
869,270,0,45 ml
870,270,7,15 ml
871,270,78,1 tsp.
872,271,28,30 ml
873,271,3,Full up (90ml)
874,272,28,15 ml
875,272,114,15 ml
876,272,3,Full up (90ml)
877,273,28,20 ml
878,273,78,20 ml
879,273,5,10 ml
880,273,33,80 ml
881,274,28,30 ml
882,274,49,90 ml
883,275,28,20 ml
884,275,4,20 ml
885,275,27,20 ml
886,275,51,1 tsp.
887,276,28,30 ml
888,276,118,Full up (90 ml)
889,277,35,15 ml
890,277,28,15 ml
891,277,27,30 ml
892,278,35,30 ml
893,278,28,30 ml
894,278,27,Full up (60ml)
895,279,35,15 ml
896,279,28,15 ml
897,279,27,30 ml
898,279,67,1/2 cup
899,280,28,30 ml
900,280,15,90 ml
901,280,5,1 tsp.
902,281,28,30 ml
903,281,15,60 ml
904,281,86,60 ml
905,282,28,30 ml
906,282,86,Full up (90ml)
907,283,35,20 ml
908,283,28,20 ml
909,283,15,20 ml
910,283,5,10 ml
911,283,6,1 tsp.
912,283,32,スノースタイル
913,284,28,30 ml
914,284,35,20 ml
915,284,2,10 ml
916,284,4,50 ml
917,284,15,10 ml
918,285,28,30 ml
919,285,2,10 ml
920,285,4,30 ml
921,285,1,Full up (90ml)
922,286,28,15 ml
923,286,103,15 ml
924,286,2,15 ml
925,286,119,30 ml
926,287,35,20 ml
927,287,28,20 ml
928,287,44,10 ml
929,287,120,10 ml
930,287,6,1 tsp.
931,288,28,30 ml
932,288,121,30 ml
933,288,56,15 ml
934,288,5,1 tsp.
935,289,28,45 ml
936,289,122,15 ml
937,289,6,1 tsp.
938,290,28,30 ml
939,290,4,90 ml
940,291,28,30 ml
941,291,107,90 ml
942,292,28,45 ml
943,292,123,100 ml
944,292,8,100 ml
945,293,28,30 ml
946,293,104,90 ml
947,294,28,30 ml
948,294,81,90 ml
949,295,28,45 ml
950,295,91,15 ml
951,295,8,105 ml
952,296,35,15 ml
953,296,77,15 ml
954,296,28,15 ml
955,296,13,1 dash
956,296,116,15 ml
957,297,28,20 ml
958,297,44,20 ml
959,297,15,20 ml
960,297,3,20 ml
961,297,81,20 ml
962,298,28,30 ml
963,298,43,Full up (90ml)
964,299,28,30 ml
965,299,52,Full up (90ml)
966,300,39,30 ml
967,300,3,Full up (90ml)
968,301,39,30 ml
969,301,5,1 tsp.
970,301,8,Full up (90ml)
971,302,39,50 ml
972,302,7,20 ml
973,302,8,Full up (100ml)
974,303,39,50 ml
975,303,7,20 ml
976,303,3,20 ml
977,303,8,100ml
978,304,39,30 ml
979,304,1,Full up (90ml)
980,305,16,30 ml
981,305,112,15 ml
982,305,94,15 ml
983,305,23,30 ml
984,306,39,20 ml
985,306,57,80 ml
986,306,110,適量
987,307,51,10 ml
988,307,39,10 ml
989,307,10,適量(10 ml)
990,307,60,100 ml
991,307,98,スノースタイル
992,308,39,30 ml
993,308,57,120 ml
994,308,69,3 個
995,308,110,適量
996,309,2,30 ml
997,309,91,20 ml
998,309,8,60 ml
999,309,124,100 ml
1000,310,2,20 ml
1001,310,79,20 ml
1002,310,23,20 ml
1003,311,47,30 ml
1004,311,125,10 ml
1005,311,15,10 ml
1006,311,5,10 ml
1007,312,105,30 ml
1008,312,8,60 ml
1009,313,126,20 ml
1010,313,58,20 ml
1011,313,8,80 ml
1012,314,126,20 ml
1013,314,58,20 ml
1014,314,3,80 ml
1015,315,126,20 ml
1016,315,58,20 ml
1017,315,15,80 ml
1018,316,105,30 ml
1019,316,43,90 ml
1020,317,105,30 ml
1021,317,4,90 ml
1022,318,105,30 ml
1023,318,3,90 ml
1024,319,105,30 ml
1025,319,15,90 ml
1026,320,105,45 ml
1027,320,81,Full up (45 ml)
1028,321,105,30 ml
1029,321,107,90 ml
1030,322,105,30 ml
1031,322,104,90 ml
1032,323,105,30 ml
1033,323,95,90 ml
1034,324,105,40 ml
1035,324,33,100 ml
1036,325,126,30 ml
1037,325,125,10 ml
1038,325,28,10 ml
1039,325,15,15 ml
1040,325,116,Full up (60ml)
1041,326,105,30 ml
1042,326,27,90 ml
1043,327,51,30 ml
1044,327,126,20 ml
1045,327,28,10 ml
1046,327,1,Full up (90ml)
1047,328,105,25 ml
1048,328,26,25 ml
1049,328,8,100 ml
1050,329,105,30 ml
1051,329,108,90 ml
1052,330,56,45 ml
1053,330,5,20 ml
1054,330,32,1 tsp.
1055,330,8,Full up (90ml)
1056,331,56,45 ml
1057,331,5,20 ml
1058,331,6,1 tsp.
1059,331,8,Full up (90ml)
1060,332,56,45 ml
1061,332,7,5 ml
1062,332,43,Full up (90ml)
1063,333,56,40 ml
1064,333,3,20 ml
1065,333,21,1/2 tsp.
1066,334,56,30 ml
1067,334,79,15 ml
1068,334,23,15 ml
1069,335,56,30 ml
1070,335,123,90 ml
1071,336,0,30 ml
1072,336,56,15 ml
1073,336,3,15 ml
1074,337,0,30 ml
1075,337,56,15 ml
1076,337,5,15 ml
1077,337,6,5 ml
1078,338,24,30 ml
1079,338,43,Full up (120ml)
1080,339,24,30 ml
1081,339,4,30 ml
1082,339,1,30 ml
1083,340,24,30 ml
1084,340,4,40 ml
1085,340,1,80 ml
1086,341,17,30 ml
1087,341,22,30 ml
1088,341,23,30 ml
1089,342,24,30 ml
1090,342,3,90 ml
1091,343,24,45 ml
1092,343,67,1 cup
1093,344,17,30 ml
1094,344,26,15 ml
1095,344,51,15 ml
1096,344,21,1 dash
1097,345,24,30 ml
1098,345,86,Full up (120ml)
1099,346,17,37 ml
1100,346,15,60 ml
1101,347,17,30 ml
1102,347,27,Full up (90ml)
1103,348,17,45 ml
1104,348,27,90 ml
1105,348,3,30 ml
1106,349,17,20 ml
1107,349,81,40 ml
1108,350,18,20 ml
1109,350,4,30 ml
1110,350,1,Full up (60ml)
1111,351,18,30 ml
1112,351,1,90 ml
1113,352,18,30 ml
1114,352,3,90 ml
1115,353,18,30 ml
1116,353,19,30 ml
1117,354,0,30 ml
1118,354,18,30 ml
1119,354,19,30 ml
1120,355,18,40 ml
1121,355,35,20 ml
1122,356,18,20 ml
1123,356,26,10 ml
1124,356,33,120 ml
1125,357,18,30 ml
1126,357,33,90 ml
1127,358,18,30 ml
1128,358,33,80 ml
1129,358,3,50 ml
1130,359,18,30 ml
1131,359,43,90 ml
1132,360,93,20 ml
1133,360,18,20 ml
1134,360,13,20 ml
1135,361,18,30 ml
1136,361,4,90 ml
1137,362,18,20 ml
1138,362,46,20 ml
1139,362,7,20 ml
1140,362,10,15ml
1141,362,8,Full up (80ml)
1142,363,18,30 ml
1143,363,15,90 ml
1144,364,18,30 ml
1145,364,49,Full up (90ml)
1146,365,0,45 ml
1147,365,18,2 tsp.
1148,365,6,2 tsp.
1149,365,3,15 ml
1150,365,8,Full up (50 ml)
1151,366,127,20 ml
1152,367,0,40 ml
1153,367,127,20 ml
1154,368,127,30 ml
1155,368,104,Full up (90ml)
1156,369,127,30 ml
1157,369,62,適量 (250ml)
1158,370,127,30 ml
1159,370,124,30 ml
1160,371,127,30 ml
1161,371,1,90 ml
1162,372,127,30 ml
1163,372,83,15 ml
1164,373,127,15 ml
1165,373,27,15 ml
1166,373,28,15 ml
1167,374,128,30 ml
1168,374,81,90 ml
1169,375,128,30 ml
1170,375,72,90 ml
1171,376,129,30 ml
1172,376,51,15 ml
1173,376,23,15 ml
1174,377,83,30 ml
1175,377,35,30 ml
1176,378,0,30 ml
1177,378,130,30 ml
1178,379,83,30 ml
1179,379,91,30 ml
1180,379,81,100 ml
1181,380,83,40 ml
1182,380,3,40 ml
1183,380,5,20 ml
1184,380,10,5 ml
1185,381,65,30 ml
1186,381,83,40 ml
1187,381,3,80 ml
1188,381,15,40 ml
1189,381,5,20 ml
1190,381,6,15 ml
1191,382,83,15 ml
1192,382,78,15 ml
1193,382,8,Full up (90ml)
1194,383,128,30 ml
1195,383,60,Full up (90ml)
1196,383,131,適量 (50g)
1197,383,110,適量
1198,384,83,30 ml
1199,384,43,90 ml
1200,385,128,30 ml
